"InChI Key","SMILES","Solubility"
"XLMALTXPSGQGBX-GCJKJVERSA-N","CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C","0.6054774012630276"
"CUIHSIWYWATEQL-UHFFFAOYSA-N","CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N","0.38127856347972083"
"RUDATBOHQWOJDD-BSWAIDMHSA-N","CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C","0.6229291575128068"
"QNZCBYKSOIHPEH-UHFFFAOYSA-N","COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N","0.1401195940108923"
"PTOIAAWZLUQTIO-GXFFZTMASA-N","CCC(=O)NCC1CC1C2=C3CCOC3=CC=C2","0.6987476259463516"
"XHOLNRLADUSQLD-UHFFFAOYSA-N","CN(C)C(=N)C1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)OC)C(=O)NC3=NC=C(C=C3)Cl","0.7436141280454602"
"HGVDHZBSSITLCT-JLJPHGGASA-N","CN1CCC2=C(C1)SC(=N2)C(=O)NC3CC(CCC3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C","0.5639070654264255"
"IPEHBUMCGVEMRF-UHFFFAOYSA-N","C1=CN=C(C=N1)C(=O)N","0.7156702425201068"
"ZSKVGTPCRGIANV-ZXFLCMHBSA-N","CC(C1C2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O","0.6796795700066818"
"GJPICJJJRGTNOD-UHFFFAOYSA-N","CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC","0.43635127003536334"
"LUZRJRNZXALNLM-JGRZULCMSA-N","CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C","0.6129831687361524"
"YJGVMLPVUAXIQN-XVVDYKMHSA-N","COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O","0.57486357872534"
